Iteration	SimID	Obj	Parmaters
3	2	[-5.1551489263357793]	@[-10.601432296015142, 0.17083965141698831, 2.1581614676307614, 7.478824669036343, 9.767004739826266, -10.137946427048199, 10.225292871299903, 5.697506147979411, -0.8603578508844496, -10.73438019614741]
3	3	[-4.1916203139578538]	@[9.911261168389991, 3.1659727896595626, 2.1737795884209365, 9.081196757761205, 12.371362545478565, -10.32944748590114, -3.762113519042707, 11.750070521499993, -8.044151022146218, 15.69780453760987]
4	0	[-4.4021766063186272]	@[-1.388588627978447, -2.204443547501665, 1.7819394003824511, 9.783327752229402, 14.189369514222482, -7.8566098302384475, 6.3309688280404215, 4.31093091394403, 0.2605354290977431, 18.707743037155517]
4	1	[-5.299168088594743]	@[-10.211357678121704, 0.08867937362639111, 2.172036371632358, 7.358124446597552, 7.481070417356331, -10.308073092316405, 10.96116125930449, 2.768599457788565, -1.0409079723767087, 13.21401607565948]
4	2	[-5.425884150978816]	@[-1.5851890849014652, 1.715721638565527, 3.120315436072704, 4.449428565924492, 4.7278728498430596, -3.561231884182268, 5.443956829767192, 14.907067099392854, 6.522123993441306, 12.904892626774444]
4	3	[-3.8490335573787728]	@[7.4698269170947516, 0.07835691117314347, 1.7819394003824511, 9.783327752229402, 9.45580884916235, -7.8566098302384475, 11.91460132174845, 10.495396723896949, 0.42666262375561015, 18.707743037155517]
5	0	[-5.1217370491726548]	@[-1.5605536746184576, 4.022067091012254, 2.9889570894565107, 4.922929646066917, 11.483337703763844, -9.081764164367812, -3.8007680143127036, 14.58433046238395, 5.737503216255626, 11.896000640937801]
5	1	[-4.3326093086611728]	@[-1.2166235813384363, -2.6602510804785426, 2.172036371632358, 11.533384628986147, 14.924120582204011, -10.308073092316405, 5.617330193314379, 10.078668068447255, -5.21643235806014, 13.21401607565948]
5	2	[-8.495657188945156]	@[-1.5005026496581166, 0.6733957732743769, 3.4337268770363396, 8.21712104932324, 4.7278728498430596, -9.097319503419351, 1.602152631532801, 5.697506147979411, 0.24402703312594598, -3.022795435973695]
5	3	[-5.4040425126914284]	@[-10.365137312182128, -2.2217410227617025, 1.0810353271330015, 12.177592060258094, 9.45580884916235, -12.262235911948288, -2.3925832689659075, 2.6019194478488816, -4.252790969235447, -0.5337215159315543]
6	0	[-6.7202266681112155]	@[-1.5005026496581166, 0.21685129651178636, 3.510826309485737, 7.546419569480467, 1.642555918988843, -9.097319503419351, 9.35184028909664, -1.6744594338140848, 0.24402703312594598, 10.887495422247815]
6	1	[-7.7113362790989406]	@[-10.211357678121704, 0.6676046516684768, 4.483453772684246, 8.208613414188612, -0.47986281548306353, -9.109310994118609, 2.1370528426555726, 2.768599457788565, 0.23130083820987712, -1.6293371316561611]
6	2	[-6.1397367352223391]	@[-8.334181025664932, -1.5584428158886672, 2.072023133703059, 11.270217554320245, 8.372602185196522, -11.537129111622114, -1.4773584121093992, 3.311142276361822, -3.2225352239164184, -1.1039875808024369]
6	3	[-6.3982208897009549]	@[-8.215633493820032, -2.2217410227617025, 1.0810353271330015, 12.177592060258094, 6.850291584314965, -10.030680091205, 8.816940077973868, 2.6019194478488816, -0.7465194356190543, -0.5337215159315543]
7	0	[-6.2772042682322624]	@[-1.5005026496581166, -1.4116146253405866, 3.4337268770363396, 11.081216481783958, 10.017460828978244, -9.76219811776738, 6.42249464545979, 5.697506147979411, -0.4615878944863159, -2.2321770022270124]
7	1	[-7.2228892991280498]	@[-10.211357678121704, 0.6676046516684768, 4.483453772684246, 11.067113334920007, 1.3845728695737565, -9.109310994118609, 2.1370528426555726, -1.3235558430825076, -0.4826841677844125, 0.07776539699453089]
7	2	[-6.9766301860799436]	@[-7.786432185851767, 0.6809080052668555, 4.191231080323934, 8.210981767381208, 11.483337703763844, -9.105972806146024, 0.9082810895008377, 3.583947718586846, 0.23484355294576975, -2.0172476815979863]
7	3	[-8.7410832518576118]	@[-7.786432185851767, 0.6692167825517368, 4.191231080323934, 8.210981767381208, 0.9698652457219725, -9.105972806146024, 1.9881474649935873, 3.583947718586846, 0.23484355294576975, -2.0172476815979863]
